"BehaviorSpace results (NetLogo 6.0.2)"
"EpigeneticModelOfschizophrenia.nlogo"
"experiment3"
"12/10/2018 00:21:12:625 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-150","150"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90"
"scale","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000"
"stress-end-month","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"schizophrenia-inherit-threshold","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936","0.2936"
"schizophrenia-exhibit-uninherited-threshold","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009"
"schizophrenia-exhibit-inherited-threshold","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"schizophrenia-via-social-interaction-threshold","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"inheretence-augmentation-by-shock","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"stress-start-year","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944"
"init-percent-schizophrenia-inherited","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"stress-end-year","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944","1944"
"use-stress?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"stress-start-month","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"init-percent-schizophrenia-exhibited","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"stop-year","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014"
