"search-number","evaluation","evals-requested-so-far","scale*","init-percent-schizophrenia-inherited*","init-percent-schizophrenia-exhibited*","schizophrenia-inherit-threshold*","schizophrenia-via-social-interaction-threshold*","schizophrenia-exhibit-inherited-threshold*","schizophrenia-exhibit-uninherited-threshold*","stop-year*","stress-start-year*","stress-start-month*","stress-end-year*","stress-end-month*","inheretence-augmentation-by-shock*","use-stress?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""-1324398852""","5.249999999999274E13","9.41696872671769E13","7.32228717258776E13","1.32503250713911E13","9.41696872671769E13"
"1","2","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""-454490077""","5.349999999999274E13","9.549335055383631E13","7.58142392267457E13","1.3124390458585312E13","9.549335055383631E13"
"1","3","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""474526645""","5.889999999999274E13","1.053140541428239E14","8.15992992289442E13","1.5210180756235895E13","7.609999999999273E13"
"1","4","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""-1198259344""","586.4139997896553","1.0127990916266531E14","7.919184168750575E13","1.589752315119512E13","1.0127990916266531E14"
"1","5","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""-267212971""","5.099999999999274E13","9.462874827449578E13","7.385441169297311E13","1.3745052702537729E13","9.462874827449578E13"
"1","6","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""-1779106188""","569.9979794309874","1.0089053473937855E14","7.922508264493756E13","1.569880741309206E13","7.379999999999273E13"
"1","7","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""138561693""","5.789999999999274E13","1.0072785116340838E14","7.827173168838619E13","1.4350636718578057E13","1.0072785116340838E14"
"1","8","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""595711064""","5.629999999999274E13","1.0078973161983194E14","7.91519379984839E13","1.444498315604197E13","1.0078973161983194E14"
"1","9","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""1126324783""","5.279999999999274E13","9.47864969286126E13","7.426415259798048E13","1.3366919968679285E13","9.47864969286126E13"
"1","10","500","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","""886149168""","5.209999999999274E13","9.619656958539558E13","7.467040342325547E13","1.462963690439728E13","9.619656958539558E13"
"1","11","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""-1501378132""","5.039999999999274E13","9.055385138136302E13","7.852415228381894E13","9.441766037161387E12","9.055385138136302E13"
"1","12","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""-1985780790""","5.549999999999274E13","9.323143246779981E13","8.383151928732081E13","8.8002892736312E12","9.323143246779981E13"
"1","13","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""74974905""","5.889999999999274E13","9.837708066413539E13","8.804651469386489E13","8.810986194277854E12","9.837708066413539E13"
"1","14","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""190141504""","5.179999999999274E13","9.479040035783098E13","8.172647600463012E13","1.00718920401827E13","9.479040035783098E13"
"1","15","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""1589352694""","5.419999999999274E13","9.775530676130997E13","8.477247198409016E13","1.0051058605228752E13","9.754511776607695E13"
"1","16","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""806491665""","5.299999999999274E13","9.944184229989797E13","8.441555015192288E13","1.0301165357399426E13","9.944184229989797E13"
"1","17","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""-1525150772""","5.279999999999274E13","1.0396932239847327E14","8.744069857995178E13","1.2084095614315918E13","1.0396932239847327E14"
"1","18","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""1337667219""","5.279999999999274E13","1.0163803421946789E14","8.582116335214145E13","1.1890308043069662E13","1.0163803421946789E14"
"1","19","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""1913647668""","5.389999999999274E13","9.77517263274558E13","8.470668961988345E13","9.622884361044469E12","9.77517263274558E13"
"1","20","500","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","""2129885831""","5.249999999999274E13","9.804182780832786E13","8.34813952983877E13","1.0481000555227486E13","9.804182780832786E13"
"1","21","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-2116197065""","5.319999999999274E13","9.343452252779972E13","8.186862241509752E13","7.396329785139975E12","9.343452252779972E13"
"1","22","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-1052337512""","5.909999999999274E13","1.045319090038906E14","9.409994216175573E13","7.955348871064672E12","1.045319090038906E14"
"1","23","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-1179977883""","5.599999999999274E13","9.414844661489588E13","8.576090934841219E13","6.588598592732091E12","9.414844661489588E13"
"1","24","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-794433817""","5.469999999999274E13","9.556992204662442E13","8.452345797826461E13","6.662214558477321E12","9.556992204662442E13"
"1","25","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-91369025""","6.299999999999274E13","9.776308096616952E13","8.712067520578281E13","7.315391888392455E12","9.776308096616952E13"
"1","26","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""350483037""","5.969999999999274E13","1.0488684378890258E14","9.260379077139352E13","8.022277685155745E12","1.0488684378890258E14"
"1","27","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-1710650786""","5.289999999999274E13","9.621683844316364E13","8.370686366239108E13","7.952417410533137E12","9.607549115147867E13"
"1","28","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""242450954""","5.299999999999274E13","9.83172416211816E13","8.418777169301006E13","8.721235066331888E12","9.83172416211816E13"
"1","29","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""500879004""","5.679999999999274E13","9.675866886226702E13","8.755239886280208E13","6.772689466225018E12","9.654496361798395E13"
"1","30","500","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","""-1387804924""","5.789999999999274E13","9.697241875913911E13","8.589688557368198E13","7.507362272677094E12","9.697241875913911E13"
"1","31","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-1149272426""","5.429999999999274E13","9.569665615891636E13","7.364960868359619E13","1.4105522026601037E13","9.569665615891636E13"
"1","32","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-409476833""","604.3359423283155","9.960491955720748E13","7.763425407686394E13","1.4886357368452564E13","9.889812940595889E13"
"1","33","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""1630653117""","5.489999999999274E13","9.818716820439322E13","7.577918093756016E13","1.4259333274919477E13","9.818716820439322E13"
"1","34","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-1056216688""","530.9968932899997","8.884143177593445E13","7.038215449286581E13","1.20180031657811E13","6.439999999999274E13"
"1","35","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-1973657764""","4.979999999999274E13","8.87655901799679E13","6.957943847776499E13","1.3041154429670105E13","8.87655901799679E13"
"1","36","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""1959348936""","130.2524075169945","9.450005291002694E13","7.314254957914381E13","1.4507018684344826E13","9.421730202037148E13"
"1","37","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-564877309""","5.909999999999274E13","1.0297659928351536E14","7.879159276885481E13","1.4658111549033697E13","7.429999999999273E13"
"1","38","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-43613954""","273.494260328629","9.731803532746552E13","7.461726491148105E13","1.4784464902212896E13","9.731803532746552E13"
"1","39","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""1754832272""","5.609999999999274E13","9.945551769508708E13","7.530670594164614E13","1.4542891030749693E13","9.945551769508708E13"
"1","40","500","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","""-1049830351""","127.49058465013373","9.776727468840388E13","7.483637430280942E13","1.5034179104516604E13","9.776727468840388E13"
"1","41","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""-948842956""","5.339999999999274E13","9.612767551541989E13","8.043490617631381E13","1.2258547786193574E13","9.612767551541989E13"
"1","42","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""811266072""","5.639999999999274E13","9.845862075002777E13","8.431700659973638E13","1.1212697318708146E13","9.845862075002777E13"
"1","43","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""-660911681""","5.039999999999274E13","9.443902794924295E13","7.84639067645965E13","1.2557531486452076E13","9.443902794924295E13"
"1","44","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""-1725388035""","5.319999999999274E13","9.972171278110786E13","8.160768477894664E13","1.3791021145113188E13","9.972171278110786E13"
"1","45","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""215998521""","5.209999999999274E13","9.547994553830594E13","7.870180112883927E13","1.1978006371302068E13","9.547994553830594E13"
"1","46","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""2138506904""","5.099999999999274E13","8.976218580225192E13","7.543873129974458E13","1.1590084332632064E13","8.976218580225192E13"
"1","47","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""-1881717503""","5.039999999999274E13","8.826607502318219E13","7.501928200456433E13","1.0584259455037596E13","8.826607502318219E13"
"1","48","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""-8821415""","5.599999999999274E13","1.0092219775647845E14","8.359975650987223E13","1.2563699520200443E13","1.0092219775647845E14"
"1","49","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""1666283833""","5.349999999999274E13","9.520021008379064E13","8.020254297821783E13","1.2381782148104729E13","9.513112003964778E13"
"1","50","500","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","""338243666""","5.219999999999274E13","9.273861116060522E13","7.792279767087177E13","1.048615024600953E13","9.273861116060522E13"
"1","51","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""-703579426""","104.09085338161319","9.99414328494332E13","7.20829803711064E13","1.4550916590597275E13","9.99414328494332E13"
"1","52","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""44548571""","26.578240346457584","9.648295186196289E13","6.949952502124241E13","1.699043012725832E13","9.62002078999721E13"
"1","53","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""-10675083""","21.099685481666405","1.0285621031322175E14","7.198178292972348E13","1.6498864853967258E13","7.489999999999273E13"
"1","54","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""1018746608""","23.32366182625345","1.0170408054742802E14","7.10839213544077E13","1.478020788463303E13","7.349999999999273E13"
"1","55","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""1321374171""","21.19281091708409","9.69000515995623E13","6.686112080889931E13","1.5563528658961494E13","9.69000515995623E13"
"1","56","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""-1735562508""","27.94763891652767","1.0240820279644453E14","7.126068415646262E13","1.6005832329004824E13","1.0240820279644453E14"
"1","57","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""375246045""","16.445364088390246","9.520693252068295E13","67383422040566","1.4364411276123406E13","6.899999999999275E13"
"1","58","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""-969316531""","8.469290097438087","1.0227590136487536E14","7.125029146439095E13","1.606277434393406E13","1.0227590136487536E14"
"1","59","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""-1781822112""","50.504629600714196","1.0856025976386373E14","7.385696776931997E13","1.7662925517794457E13","1.0856025976386373E14"
"1","60","500","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","""-1470880895""","87.01333983609032","1.0255544841693056E14","7.436058795506627E13","1.6860770002968148E13","7.409999999999273E13"
"1","61","500","5000","26","26","0.9550000000000001","23.0001","0.7665000000000001","0.7176","1970","1944","1","1944","12","6372","true","""219652406""","5.389999999999274E13","9.542080485930661E13","8.256683397737662E13","1.092857633675977E13","9.478280434761298E13"
"1","62","500","5000","26","26","0.9550000000000001","23.0001","0.7665000000000001","0.7176","1970","1944","1","1944","12","6372","true","""1654423128""","5.379999999999274E13","9.62002078999721E13","8.262218202563392E13","1.0744661928909363E13","9.62002078999721E13"
