"search-number","evaluation","scale*","init-percent-schizophrenia-inherited*","init-percent-schizophrenia-exhibited*","schizophrenia-inherit-threshold*","schizophrenia-via-social-interaction-threshold*","schizophrenia-exhibit-inherited-threshold*","schizophrenia-exhibit-uninherited-threshold*","stop-year*","stress-start-year*","stress-start-month*","stress-end-year*","stress-end-month*","inheretence-augmentation-by-shock*","use-stress?*","fitness","num-replicates","best-fitness-so-far"
"1","10","5000","26","31","0.2194","13.0001","0.23600000000000002","0.4294","1970","1944","1","1944","12","8090","true","76926597191509","10","76926597191509"
"1","20","5000","1","26","0.6529","44.0001","0.0412","0.8442000000000001","1970","1944","1","1944","12","5780","true","8.427666312560122E13","10","76926597191509"
"1","30","5000","26","11","0.1005","32.0001","0.0099","0.9753000000000001","1970","1944","1","1944","12","6466","true","8.673213176725916E13","10","76926597191509"
"1","40","5000","11","46","0.6405000000000001","49.0001","0.24830000000000002","0.374","1970","1944","1","1944","12","3187","true","7.437191241725862E13","10","7.437191241725862E13"
"1","50","5000","11","16","0.4486","31.0001","0.37010000000000004","0.6394000000000001","1970","1944","1","1944","12","4915","true","7.957084159117033E13","10","7.437191241725862E13"
"1","60","5000","11","1","0.5021","47.0001","0.7792","0.248","1970","1944","1","1944","12","8546","true","7.096212838711852E13","10","7.096212838711852E13"
"1","70","5000","26","26","0.9550000000000001","23.0001","0.7665000000000001","0.7176","1970","1944","1","1944","12","6372","true","8.276685593063755E13","10","7.096212838711852E13"
"1","80","5000","26","26","0.05670000000000001","28.0001","0.0998","0.41550000000000004","1970","1944","1","1944","12","1088","true","7.479351607622242E13","10","7.096212838711852E13"
"1","90","5000","41","16","0.6452","21.0001","0.1625","0.22640000000000002","1970","1944","1","1944","12","1408","true","6.630086893734015E13","10","6.630086893734015E13"
"1","100","5000","11","16","0.3477","24.0001","0.2863","0.2821","1970","1944","1","1944","12","7423","true","7.064053453409336E13","10","6.630086893734015E13"
"1","110","5000","26","21","0.5205","15.0001","0.9996","0.2589","1970","1944","1","1944","12","6565","true","6.770822044993845E13","10","6.630086893734015E13"
"1","120","5000","11","1","0.5224","20.0001","0.21980000000000002","0.40080000000000005","1970","1944","1","1944","12","66","true","7.70604811094672E13","10","6.630086893734015E13"
"1","130","5000","16","6","0.5969","4.0001","0.2102","0.0443","1970","1944","1","1944","12","460","true","5.56312603807088E13","10","5.56312603807088E13"
"1","140","5000","26","46","0.4301","17.0001","0.41050000000000003","0.9122","1970","1944","1","1944","12","9425","true","8.616141563604722E13","10","5.56312603807088E13"
"1","150","5000","41","1","0.05090000000000001","10.0001","0.32030000000000003","0.5651","1970","1944","1","1944","12","6090","true","8.003383903593581E13","10","5.56312603807088E13"
"1","160","5000","26","26","0.7321","8.0001","0.36200000000000004","0.1253","1970","1944","1","1944","12","1208","true","6.1413494727981734E13","10","5.56312603807088E13"
"1","170","5000","1","1","0.3399","47.0001","0.9368000000000001","0.14450000000000002","1970","1944","1","1944","12","6089","true","6.1078236457225586E13","10","5.56312603807088E13"
"1","180","5000","46","11","0.4466","32.0001","0.25370000000000004","0.0089","1970","1944","1","1944","12","1861","true","1.0357354618120236E13","10","1.0357354618120236E13"
"1","190","5000","31","11","0.9650000000000001","29.0001","0.2348","0.4151","1970","1944","1","1944","12","8341","true","7.549817533644364E13","10","1.0357354618120236E13"
"1","200","5000","31","16","0.009","24.0001","0.7608","0.28750000000000003","1970","1944","1","1944","12","9613","true","7.066076836238098E13","10","1.0357354618120236E13"
"1","210","5000","46","26","0.6344","18.0001","0.8052","0.3796","1970","1944","1","1944","12","2940","true","7.602627879475442E13","10","1.0357354618120236E13"
"1","220","5000","11","41","0.6097","39.0001","0.0942","0.433","1970","1944","1","1944","12","6605","true","7.626127577057347E13","10","1.0357354618120236E13"
"1","230","5000","41","31","0.4766","32.0001","0.7333000000000001","0.327","1970","1944","1","1944","12","6207","true","7.155729077639295E13","10","1.0357354618120236E13"
"1","240","5000","1","36","0.08120000000000001","3.0001","0.7844","0.9429000000000001","1970","1944","1","1944","12","4547","true","8.424049214823025E13","10","1.0357354618120236E13"
"1","250","5000","41","26","0.7606","4.0001","0.3753","0.7260000000000001","1970","1944","1","1944","12","8825","true","8.28802467703114E13","10","1.0357354618120236E13"
"1","260","5000","36","41","0.6980000000000001","49.0001","0.0776","0.402","1970","1944","1","1944","12","2731","true","7.567629755802812E13","10","1.0357354618120236E13"
"1","270","5000","46","1","0.5865","25.0001","0.4686","0.5284","1970","1944","1","1944","12","7152","true","7.832271541195812E13","10","1.0357354618120236E13"
"1","280","5000","1","36","0.3548","34.0001","0.5498000000000001","0.5232","1970","1944","1","1944","12","5452","true","7.714909779806312E13","10","1.0357354618120236E13"
