AgeGroup,TimeMid,DataValue
15-19,1940,10.7
15-19,1941,10.1
15-19,1942,10.1
15-19,1943,10
15-19,1944,9.9
15-19,1945,10.4
15-19,1946,13.4
15-19,1947,15
15-19,1948,13.6
15-19,1949,12.7
15-19,1950,12.5
15-19,1951,13.3
15-19,1952,14
15-19,1953,13.4
15-19,1954,12.9
15-19,1955,13.6
15-19,1956,13.8
15-19,1957,14.5
15-19,1958,14.8
15-19,1959,15.8
15-19,1960,16.3
15-19,1961,17.3
15-19,1962,17.7
15-19,1963,18.8
15-19,1964,19.6
15-19,1965,21
15-19,1966,22.3
15-19,1967,22.5
15-19,1968,21.7
15-19,1969,22.8
15-19,1970,22.6
15-19,1971,22.3
15-19,1972,20
15-19,1973,17.3
15-19,1974,15.2
15-19,1975,12.6
15-19,1976,11.3
15-19,1977,10.1
15-19,1978,9.4
15-19,1979,8.9
15-19,1980,9.2
15-19,1981,9
15-19,1982,8.2
15-19,1983,7.7
15-19,1984,7.4
15-19,1985,6.8
15-19,1986,6.8
15-19,1987,6.7
15-19,1988,7.2
15-19,1989,7.6
15-19,1990,8.3
15-19,1991,8.3
15-19,1992,7.7
15-19,1993,7.2
15-19,1994,6.9
15-19,1995,5.8
15-19,1996,5.6
15-19,1997,6
15-19,1998,6.3
15-19,1999,6.7
15-19,2000,7.4
15-19,2001,7.8
15-19,2002,7.6
15-19,2003,7.1
15-19,2004,6.3
15-19,2005,5.8
15-19,2006,5.2
15-19,2007,5.2
15-19,2008,5.2
15-19,2009,5.3
15-19,2010,5.1
15-19,2011,4.8
15-19,2012,4.5
15-19,2013,3.9
15-19,2014,3.7
15-19,2015,3.2
20-24,1940,87.7
20-24,1941,87.2
20-24,1942,87
20-24,1943,95.6
20-24,1944,96.2
20-24,1945,86.6
20-24,1946,111.3
20-24,1947,109.4
20-24,1948,101.1
20-24,1949,97
20-24,1950,94
20-24,1951,96.7
20-24,1952,99.7
20-24,1953,98.7
20-24,1954,101
20-24,1955,103.1
20-24,1956,106.4
20-24,1957,111
