Relative_Type,Sex_Affected,Sex_Individual,Cases,Percent_Prevalence,RRs ,95_CI_Low,95_CI_High
Parent,Male,Male,268,2.09,6.39,5.69,7.17
Parent,Male,Female,147,1.25,6.23,5.32,7.3
Parent,Female,Male,753,3.52,6.41,6.01,6.84
Parent,Female,Female,542,2.89,8.99,8.3,9.74
Offspring,Male,Male,184,1.35,2.57,2.23,2.97
Offspring,Male,Female,627,3.51,4.99,4.63,5.38
Offspring,Female,Male,115,1.26,2.35,1.96,2.81
Offspring,Female,Female,452,4.04,5.53,5.06,6.04
Sibling,Male,Male,818,5.8,8.04,7.41,8.73
Sibling,Male,Female,500,3.69,8.55,7.87,9.29
Sibling,Female,Male,487,4.44,7.47,6.86,8.14
Sibling,Sibling,Female,439,4.4,11.16,9.94,12.53
Spouse,Female,Male,175,1.29,1.45,1.25,1.68
Spouse,Male,Female,192,2.05,2.74,2.38,3.15
