"","Year","AgeGroup","AnnualMortalityRate.DeathsPerThousandPeople"
"1",1940,"01_05",3.4
"2",1941,"01_05",3.8
"3",1942,"01_05",3.8
"4",1943,"01_05",5.4
"5",1944,"01_05",6.3
"6",1945,"01_05",7.5
"7",1946,"01_05",4.6
"8",1947,"01_05",2.5
"9",1948,"01_05",2
"10",1949,"01_05",1.9
"11",1950,"01_05",2.5
"12",1951,"01_05",2.5
"13",1952,"01_05",2.2
"14",1953,"01_05",2.4
"15",1954,"01_05",2
"16",1955,"01_05",1.8
"17",1956,"01_05",1.8
"18",1957,"01_05",1.8
"19",1958,"01_05",1.8
"20",1959,"01_05",1.9
"21",1960,"01_05",1.6
"22",1961,"01_05",1.4
"23",1962,"01_05",1.5
"24",1963,"01_05",1.4
"25",1964,"01_05",1.3
"26",1965,"01_05",1.2
"27",1966,"01_05",1.3
"28",1967,"01_05",1.2
"29",1968,"01_05",1.2
"30",1969,"01_05",1.2
"31",1970,"01_05",1.1
"32",1971,"01_05",1.1
"33",1972,"01_05",1
"34",1973,"01_05",1
"35",1974,"01_05",1
"36",1975,"01_05",0.9
"37",1976,"01_05",0.8
"38",1977,"01_05",0.8
"39",1978,"01_05",0.9
"40",1979,"01_05",0.8
"41",1980,"01_05",0.8
"42",1981,"01_05",0.8
"43",1982,"01_05",0.8
"44",1983,"01_05",0.8
"45",1984,"01_05",0.8
"46",1985,"01_05",0.7
"47",1986,"01_05",0.8
"48",1987,"01_05",0.7
"49",1988,"01_05",0.6
"50",1989,"01_05",0.6
"51",1990,"01_05",0.6
"52",1991,"01_05",0.6
"53",1992,"01_05",0.5
"54",1993,"01_05",0.5
"55",1994,"01_05",0.5
"56",1995,"01_05",0.5
"57",1996,"01_05",0.5
"58",1997,"01_05",0.4
"59",1998,"01_05",0.4
"60",1999,"01_05",0.4
"61",2000,"01_05",0.4
"62",2001,"01_05",0.4
"63",2002,"01_05",0.4
"64",2003,"01_05",0.3
"65",2004,"01_05",0.3
"66",2005,"01_05",0.3
"67",2006,"01_05",0.3
"68",2007,"01_05",0.3
"69",2008,"01_05",0.3
"70",2009,"01_05",0.2
"71",2010,"01_05",0.3
"72",2011,"01_05",0.2
"73",2012,"01_05",0.3
"74",2013,"01_05",0.2
"75",2014,"01_05",0.2
"76",2015,"01_05",0.2
"77",2016,"01_05",0.2
"79",1940,"05_15",1.1
"80",1941,"05_15",1.2
"81",1942,"05_15",1.3
"82",1943,"05_15",1.9
"83",1944,"05_15",2.7
"84",1945,"05_15",2.6
"85",1946,"05_15",1.2
"86",1947,"05_15",0.9
"87",1948,"05_15",0.6
"88",1949,"05_15",0.6
"89",1950,"05_15",0.6
"90",1951,"05_15",0.6
"91",1952,"05_15",0.6
"92",1953,"05_15",0.7
"93",1954,"05_15",0.5
"94",1955,"05_15",0.5
"95",1956,"05_15",0.5
"96",1957,"05_15",0.5
"97",1958,"05_15",0.4
"98",1959,"05_15",0.5
"99",1960,"05_15",0.4
"100",1961,"05_15",0.4
"101",1962,"05_15",0.4
"102",1963,"05_15",0.4
"103",1964,"05_15",0.5
"104",1965,"05_15",0.4
"105",1966,"05_15",0.4
"106",1967,"05_15",0.4
"107",1968,"05_15",0.4
"108",1969,"05_15",0.4
"109",1970,"05_15",0.4
"110",1971,"05_15",0.4
"111",1972,"05_15",0.4
"112",1973,"05_15",0.4
"113",1974,"05_15",0.3
"114",1975,"05_15",0.3
"115",1976,"05_15",0.3
"116",1977,"05_15",0.3
"117",1978,"05_15",0.3
"118",1979,"05_15",0.3
"119",1980,"05_15",0.3
"120",1981,"05_15",0.2
"121",1982,"05_15",0.2
"122",1983,"05_15",0.2
"123",1984,"05_15",0.2
"124",1985,"05_15",0.2
"125",1986,"05_15",0.2
"126",1987,"05_15",0.2
"127",1988,"05_15",0.2
"128",1989,"05_15",0.2
"129",1990,"05_15",0.2
"130",1991,"05_15",0.2
"131",1992,"05_15",0.2
"132",1993,"05_15",0.2
"133",1994,"05_15",0.2
"134",1995,"05_15",0.2
"135",1996,"05_15",0.2
"136",1997,"05_15",0.1
"137",1998,"05_15",0.1
"138",1999,"05_15",0.1
"139",2000,"05_15",0.1
"140",2001,"05_15",0.1
"141",2002,"05_15",0.1
"142",2003,"05_15",0.2
"143",2004,"05_15",0.1
"144",2005,"05_15",0.1
